Date,State,City_County,Address,Killed,Injured,Operations
1/17/2015,North Carolina,Hot Springs,1180 Grassy Creek Road,1,0,N/A
1/17/2015,Louisiana,Baton Rouge,5800 block of South Sunset Hill Avenue,1,0,N/A
1/15/2015,Alabama,Irvington,Magnolia Road,1,0,N/A
1/1/2015,Idaho,Idaho Falls,900 block of South Emerson,1,0,N/A
12/30/2014,Florida,West Palm Beach,2300 Caroma Lane,1,0,N/A
12/29/2014,Michigan,Detroit,11200 block of Roxbury St,1,0,N/A
12/29/2014,Michigan,Detroit,11200 block of Roxbury Street,1,0,N/A
12/28/2014,Mississippi,Tylertown,Kirklin Road,1,0,N/A
12/27/2014,Iowa,Traer,Ridge Road,1,0,N/A
12/26/2014,West Virginia,Cameron,North Avenue,1,1,N/A
12/25/2014,Kentucky,Frankfort,Taylor Avenue,1,0,N/A
12/21/2014,Nevada,Las Vegas,3600 block of Elegant Saint Court,1,0,N/A
12/14/2014,Wisconsin,Pierce County,Maiden Rock,1,0,N/A
12/11/2014,Illinois,Lynwood,2700 block of Lake Park Drive,1,0,N/A
12/7/2014,South Carolina,Greenville,Echols Drive,1,0,N/A
12/6/2014,Michigan,Jackson County,500 block of Big Rock Street,1,0,N/A
12/4/2014,Georgia,Savannah,600 block of W. 54th Street,1,0,N/A
12/4/2014,Indiana,Kokomo,4500 block of West 1300 South Galveston,1,0,N/A
12/4/2014,Texas,Arlington,1200 block of Golden View Court,1,0,N/A
12/1/2014,Colorado,Yuma,S. Albany Street,1,0,N/A
11/29/2014,South Carolina,Myrtle Beach,10177 N Kings Hwy,1,0,N/A
11/28/2014,Texas,Childress,N/A,1,0,N/A
11/24/2014,Texas,Atlanta,400 block of East Thomas Street,1,0,N/A
11/23/2014,Utah,Kaysville,1200 Cooper Street,1,0,N/A
11/19/2014,New Mexico,Albuquerque,Central and 57th Street,1,0,N/A
11/16/2014,Colorado,Clifton,3200 block of E Rood Circle,1,0,N/A
11/13/2014,Minnesota,Wadena,39573 615th Ave,1,0,N/A
11/8/2014,North Dakota,Butte,ND 53,1,0,N/A
11/7/2014,Michigan,Lansing,Ada Street,1,0,N/A
11/1/2014,Georgia,Tifton,Tift Avenue North,1,0,N/A
10/29/2014,Florida,Belleview,121st Place,1,0,N/A
10/26/2014,Indiana,Evansville,2900 block of Fulton Avenue,1,0,N/A
10/19/2014,Texas,Corpus Christi,3800 block of Reynosa Street,1,0,N/A
10/17/2014,North Carolina,Catawba,Hudson Chapel Road,1,0,N/A
10/17/2014,New York,Medina,5000 block of Salt Works Rd,1,0,N/A
10/1/2014,South Carolina,Lexington,Armwood Court,1,0,N/A
9/26/2014,Texas,Houston,Force and Crown,1,0,N/A
9/25/2014,Wisconsin,Poynette,W10511 Tipperary Rd,1,0,N/A
9/21/2014,Michigan,Drummond Island (Drummond),Glen Cove Rd,1,0,N/A
9/20/2014,Tennessee,Cordova,9700 block of Woodland Edge Lane,1,0,N/A
9/11/2014,Louisiana,Alexandria,600 block of Richmond Drive,1,0,N/A
8/18/2014,Kentucky,Brooksville,Belmont Road,1,0,N/A
8/16/2014,Oklahoma,Mcalester (Bache),2701 N Spruce,1,0,N/A
8/14/2014,Texas,San Antonio,4600 East Houston St.,1,0,N/A
8/14/2014,Oklahoma,Midwest City,200 block of N. Shadybrook Dr.,1,0,N/A
8/5/2014,Georgia,Macon,308 Bobby Jones Street,1,0,N/A
8/5/2014,Connecticut,Killingly,Kenneth Drive,1,0,N/A
8/3/2014,Florida,Homestead (Florida City),425 NW 13th Street,1,0,N/A
8/3/2014,Michigan,Wyoming,28th Street SW,1,0,N/A
8/2/2014,Florida,Palm Beach Gardens,Pinella Circle,1,0,N/A
7/5/2014,Texas,Houston,11400 block of Panay,1,0,N/A
7/3/2014,Texas,Dallas,N/A,1,0,N/A
7/2/2014,Arizona,Tonopah,S 363rd Ave and W Durango St,1,0,N/A
6/30/2014,Texas,Houston,6301 Ranchester,1,0,N/A
6/29/2014,Ohio,Cincinnati,5500 block of Marie Avenue,1,0,N/A
6/24/2014,Washington,Shelton (Skokomish),100 block of N Twana Ct,1,0,N/A
6/23/2014,Missouri,Benton,4035 MO-77,1,0,N/A
6/22/2014,Texas,Austin,4500 Lareina Dr.,1,0,N/A
6/16/2014,California,Santa Cruz,238 Center St,1,0,N/A
6/11/2014,Florida,Miami,1400 block of Northwest 3rd Street,1,0,N/A
6/10/2014,Louisiana,Baton Rouge,N. 48thStreet,1,0,N/A
6/5/2014,Utah,Salt Lake City (Cottonwood Heights),6825 Pine Rock Dr,1,0,N/A
6/5/2014,Louisiana,Larose,100 block of East 23rd Street,1,0,N/A
6/3/2014,Ohio,Columbus,1100 block of Oaks Boulevard,1,0,N/A
5/22/2014,Georgia,Madison County,Broad River,1,0,N/A
4/28/2014,North Carolina,Durham,Macon Street and Washington ,1,0,N/A
4/4/2014,Georgia,Waycross, 4900 Jana Lane,1,0,N/A
4/4/2014,Georgia,Savannah,1400 Church Street ,1,0,N/A
4/3/2014,Oklahoma,Bokoshe,Buck Creek Road,1,0,N/A
3/22/2014,Pennsylvania,Pittsburgh,Zara Street,1,0,N/A
3/19/2014,Louisiana,New Orleans,3600 block of Kimi O'Gray Avenue,1,0,N/A
3/13/2014,Texas,Emory,County Road 2130,1,0,N/A
3/11/2014,Indiana,Greensburg,1000 block of North Carver Street,1,0,N/A
3/1/2014,Illinois,Rock Falls,28615 Rock Ridge Dr,1,0,N/A
3/1/2014,Texas,Houston,12800 block of Gotham,1,0,N/A
2/28/2014,Louisiana,Shreveport,3100 block of Woodford Street,1,0,N/A
2/25/2014,Tennessee,Memphis,600 block of Hillcrest Street,1,0,N/A
2/22/2014,Tennessee,Memphis,Weaver Road and Canary Lane,1,0,N/A
2/15/2014,Georgia,Cartersville (Euharlee),937 Euharlee Rd SW,1,0,N/A
2/11/2014,Wisconsin,Boscobel,43105 Whippoorwill Ln,1,0,N/A
2/9/2014,South Carolina,Eutawville,Yearling Drive,1,0,N/A
2/7/2014,Massachusetts,Boston,617 Morton St.,1,0,N/A
2/6/2014,Washington,Puyallup,500 block of 11th Street,1,0,N/A
1/28/2014,Tennessee,Hermitage,345 Burning Tree Dr,1,0,N/A
1/25/2014,Texas,Kilgore,1100 block of highway 31,1,0,N/A
1/20/2014,Alabama,Decatur,3100 block of Cotton Place,1,0,N/A
1/2/2014,Pennsylvania,Dunbar,200 block of Hustosky Road,1,0,N/A
1/1/2014,Mississippi,Bogue Chitto,1347 Brumfield Rd SW,1,0,N/A
